A¤o;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;12;19;2;G;2;1;2;16985773;580;17603402;580;16985773;581;17604379;581
2019;12;19;2;G;2;2;2;11958803;1354;13151956;1354;13660647;1548;15078021;1548
2019;12;19;2;G;2;3;2;2327679;770;2862375;776;2320033;776;2867416;782
2019;12;19;2;G;2;4;2;5576412;1545;6804191;1617;5613397;1548;6778181;1583
2019;12;19;2;G;2;5;2;;;;;;;;
2019;12;19;2;G;2;6;2;;;;;;;;
2019;12;19;2;G;2;7;2;17452476;8616;21794330;8647;24378418;12042;30263614;12173
2019;12;19;2;G;2;8;2;2463695;774;2995807;774;2463695;774;3017285;774
2019;12;19;2;G;2;9;2;;;;;;;;
2019;12;20;3;O;1;1;1;7547629;1134;8029165;1134;7547629;1134;8153745;1134
2019;12;20;3;O;1;2;1;1505700324;135033;1622705681;143211;1499352673;137357;1639721504;145182
2019;12;20;3;O;1;3;1;453526749;120116;531068434;130339;455504910;123569;539768200;133759
2019;12;20;3;O;1;4;1;177404098;54257;204048048;56962;175705588;55490;204558604;57798
2019;12;20;3;O;1;5;1;;;;;;;;
2019;12;20;3;O;1;6;1;;;;;;;;
2019;12;20;3;O;1;7;1;;;;;;;;
2019;12;20;3;O;1;8;1;1093441;378;1927187;509;1093441;378;1699967;415
2019;12;20;3;O;1;9;1;89244096;32115;113009844;36919;89161713;32784;115076589;37930
2019;12;20;3;O;2;1;1;9277993;331;9712773;331;9101945;331;9325972;331
2019;12;20;3;O;2;2;1;1450942710;85547;1530313291;89860;1448772617;86017;1527257710;89468
2019;12;20;3;O;2;3;1;96518572;22417;113790504;24766;95648928;22453;113993464;24915
2019;12;20;3;O;2;4;1;38184188;10491;44860513;11329;38351573;10661;45564984;11313
2019;12;20;3;O;2;5;1;;;;;;;;
2019;12;20;3;O;2;6;1;;;;;;;;
2019;12;20;3;O;2;7;1;;;;;;;;
2019;12;20;3;O;2;8;1;30639828;8681;40186552;10441;31349641;9131;41255617;10913
2019;12;20;3;O;2;9;1;68553957;20747;90117335;24474;69631432;21587;92364944;24988
2019;12;21;3;O;1;1;1;;;;;;;;
2019;12;21;3;O;1;2;1;328017238;29452;351529923;29452;338550127;29641;395348250;29669
2019;12;21;3;O;1;3;1;;;;;;;;
2019;12;21;3;O;1;4;1;77606162;13622;81984693;13622;79708167;13622;88861659;13661
2019;12;21;3;O;1;5;1;;;;;;;;
2019;12;21;3;O;1;6;1;;;;;;;;
2019;12;21;3;O;1;7;1;;;;;;;;
2019;12;21;3;O;1;8;1;;;;;;;;
2019;12;21;3;O;1;9;1;;;;;;;;
2019;12;21;3;O;2;1;1;18401329;568;19069270;568;20248218;568;21340684;568
2019;12;21;3;O;2;2;1;740655296;59037;799308776;59037;759651406;59018;905202404;59047
2019;12;21;3;O;2;3;1;;;;;;;;
2019;12;21;3;O;2;4;1;60964143;11951;69326511;12058;63368761;12109;89448902;12138
2019;12;21;3;O;2;5;1;;;;;;;;
2019;12;21;3;O;2;6;1;;;;;;;;
2019;12;21;3;O;2;7;1;;;;;;;;
2019;12;21;3;O;2;8;1;678780;189;708222;189;697788;189;748097;189
2019;12;21;3;O;2;9;1;;;;;;;;
2019;12;22;1;K;1;1;3;4182194;194;4330025;194;4182194;194;4330279;194
2019;12;22;1;K;1;2;3;6245072;194;6446593;194;6245072;194;6467210;194
2019;12;22;1;K;1;3;3;;;;;;;;
2019;12;22;1;K;1;4;3;3155653;582;3484508;582;3103406;582;3442278;582
2019;12;22;1;K;1;5;3;;;;;;;;
2019;12;22;1;K;1;6;3;;;;;;;;
2019;12;22;1;K;1;7;3;;;;;;;;
2019;12;22;1;K;1;8;3;;;;;;;;
2019;12;22;1;K;1;9;3;;;;;;;;
2019;12;22;1;K;2;1;3;14232908;388;14528570;388;14232908;388;14529618;388
2019;12;22;1;K;2;2;3;78990582;2716;81885740;2716;82901828;2910;85981088;2910
2019;12;22;1;K;2;3;3;;;;;;;;
2019;12;22;1;K;2;4;3;1436243;194;1515414;194;1416233;194;1496194;194
2019;12;22;1;K;2;5;3;;;;;;;;
2019;12;22;1;K;2;6;3;;;;;;;;
2019;12;22;1;K;2;7;3;;;;;;;;
2019;12;22;1;K;2;8;3;;;;;;;;
