A¤o;Mes;ID_Empresa;Tamano;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;5;20;3;O;2;2;1;1406434274;83256;1489556412;87581;1393534599;83246;1468659213;87034
2019;5;20;3;O;2;3;1;91810532;21714;107222332;23871;90420576;21365;107679932;23923
2019;5;20;3;O;2;4;1;35316003;9447;41274106;10177;34781876;9357;41075777;10150
2019;5;20;3;O;2;5;1;;;;;;;;
2019;5;20;3;O;2;6;1;;;;;;;;
2019;5;20;3;O;2;7;1;;;;;;;;
2019;5;20;3;O;2;8;1;32978782;9378;43289935;11274;33007465;9324;44880359;11740
2019;5;20;3;O;2;9;1;67834497;20705;92526308;24507;67438045;20452;90345196;24235
2019;5;21;3;O;1;1;1;;;;;;;;
2019;5;21;3;O;1;2;1;320773541;28657;342352396;28657;324443063;28828;345453330;28856
2019;5;21;3;O;1;3;1;;;;;;;;
2019;5;21;3;O;1;4;1;79656961;13812;83767682;13812;79646006;13868;83784995;13876
2019;5;21;3;O;1;5;1;;;;;;;;
2019;5;21;3;O;1;6;1;;;;;;;;
2019;5;21;3;O;1;7;1;;;;;;;;
2019;5;21;3;O;1;8;1;;;;;;;;
2019;5;21;3;O;1;9;1;;;;;;;;
2019;5;21;3;O;2;1;1;10077649;378;10277661;378;5746343;189;7957320;189
2019;5;21;3;O;2;2;1;745937307;58702;826897623;58702;747605028;58639;824550740;58679
2019;5;21;3;O;2;3;1;;;;;;;;
2019;5;21;3;O;2;4;1;59637393;11730;72493234;11730;59436847;11730;75005139;11848
2019;5;21;3;O;2;5;1;;;;;;;;
2019;5;21;3;O;2;6;1;;;;;;;;
2019;5;21;3;O;2;7;1;;;;;;;;
2019;5;21;3;O;2;8;1;1447026;378;1505910;378;1382000;378;2222476;378
2019;5;21;3;O;2;9;1;;;;;;;;
2019;5;22;1;K;1;1;3;4182194;194;4328401;194;4182194;194;4328693;194
2019;5;22;1;K;1;2;3;17651271;967;18680506;967;10407289;813;11215985;813
2019;5;22;1;K;1;3;3;;;;;;;;
2019;5;22;1;K;1;4;3;1406830;194;1540692;194;1406830;194;1518692;194
2019;5;22;1;K;1;5;3;;;;;;;;
2019;5;22;1;K;1;6;3;;;;;;;;
2019;5;22;1;K;1;7;3;;;;;;;;
2019;5;22;1;K;1;8;3;;;;;;;;
2019;5;22;1;K;1;9;3;;;;;;;;
2019;5;22;1;K;2;1;3;16158862;387;16503901;387;15408862;387;15774481;387
2019;5;22;1;K;2;2;3;55708392;2322;57718740;2322;56199603;2017;58577118;2017
2019;5;22;1;K;2;3;3;;;;;;;;
2019;5;22;1;K;2;4;3;1416233;194;1495404;194;1416233;194;1495404;194
2019;5;22;1;K;2;5;3;;;;;;;;
