A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;8;14;3;C;2;3;7;26222845;3951;31512832;4215;26495491;3996;30482240;4175
2019;8;14;3;C;2;4;7;;;;;;;;
2019;8;14;3;C;2;5;7;;;;;;;;
2019;8;14;3;C;2;6;7;20557837;731;21321976;731;22662856;774;23463037;774
2019;8;14;3;C;2;7;7;87964101;24618;115270502;27736;89045456;25107;109335433;26965
2019;8;14;3;C;2;8;7;;;;;;;;
2019;8;14;3;C;2;9;7;;;;;;;;
2019;8;15;3;P;1;1;1;296603795;20239;311142654;20239;300738853;20307;315599630;20307
2019;8;15;3;P;1;2;1;1015896998;91191;1142523046;91307;1015316031;93646;1073522221;93885
2019;8;15;3;P;1;3;1;97227308;14541;106009023;14676;102291054;14774;110636110;14926
2019;8;15;3;P;1;4;1;323469849;69300;367489507;69967;321090195;69091;365266532;69785
2019;8;15;3;P;1;5;1;;;;;;;;
2019;8;15;3;P;1;6;1;;;;;;;;
2019;8;15;3;P;1;7;1;5314892;2670;7075501;2739;5979999;2786;7553131;2803
2019;8;15;3;P;1;8;1;;;;;;;;
2019;8;15;3;P;1;9;1;;;;;;;;
2019;8;15;3;P;2;1;1;354984857;20597;372404596;20597;388290055;21261;407096691;21261
2019;8;15;3;P;2;2;1;890630685;70581;935573793;70700;896594653;71352;942408931;71517
2019;8;15;3;P;2;3;1;65739849;10006;72779880;10387;63105276;9993;70085432;10387
2019;8;15;3;P;2;4;1;201951567;42316;232275131;43403;189424596;42482;224614861;44551
2019;8;15;3;P;2;5;1;;;;;;;;
2019;8;15;3;P;2;6;1;;;;;;;;
2019;8;15;3;P;2;7;1;7011162;2451;9471645;2735;7665149;2645;10304897;2935
2019;8;15;3;P;2;8;1;;;;;;;;
2019;8;15;3;P;2;9;1;7816994;3251;11041928;3609;7847059;3290;11354057;3754
2019;8;17;1;K;1;1;3;8605949;194;8848363;194;8605949;194;8848476;194
2019;8;17;1;K;1;2;3;;;;;;;;
2019;8;17;1;K;1;3;3;;;;;;;;
2019;8;17;1;K;1;4;3;956852;83;1115743;85;980460;88;1150051;91
2019;8;17;1;K;1;5;3;;;;;;;;
2019;8;17;1;K;1;6;3;;;;;;;;
2019;8;17;1;K;1;7;3;;;;;;;;
2019;8;17;1;K;1;8;3;;;;;;;;
2019;8;17;1;K;1;9;3;;;;;;;;
2019;8;17;1;K;2;1;3;17182283;388;17667111;388;17182283;388;17667337;388
2019;8;17;1;K;2;2;3;30963066;582;31637129;582;30963066;582;31637393;582
2019;8;17;1;K;2;3;3;;;;;;;;
2019;8;17;1;K;2;4;3;6083518;388;6554814;388;6083518;388;6554814;388
2019;8;17;1;K;2;5;3;;;;;;;;
2019;8;17;1;K;2;6;3;;;;;;;;
2019;8;17;1;K;2;7;3;;;;;;;;
2019;8;17;1;K;2;8;3;;;;;;;;
