Tamaño;Categoría;Sexo;Grupo;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;IR_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;ICMO_Wi
2;D;2;2;0,378806603;7,401823463;0,102656832;0,215985457;0,070786537;0,380599237;7,159707608;0,101592487;0,223684577;0,070367126
2;D;2;3;0,203501467;3,976387741;0,055149028;0,251627912;0,038027754;0,233399725;4,390638827;0,062300857;0,282335347;0,04315213
2;D;2;4;0,033032167;0,645443527;0,008951738;0,058116519;0,006172629;0,036701389;0,690414462;0,009796618;0,062068875;0,00678554
3;D;1;1;0,007777292;0,527337664;0,016244357;0,03550843;0,005043137;0,007447945;0,495354831;0,015839631;0,036855696;0,004868452
3;D;1;2;0,083320622;5,649537269;0,174030994;0,164853687;0,054028738;0,082260005;5,471024654;0,174943301;0,17092651;0,053770391
3;D;1;3;0,006790754;0,460445623;0,014183783;0,029137242;0,004403422;0,007444608;0,495132887;0,015832534;0,031838992;0,004866271
3;D;1;4;0,037812456;2,563865651;0,078978519;0,230853578;0,024519252;0,040428268;2,688840687;0,085979263;0,241729173;0,026426497
3;D;2;1;0,16141154;10,9444756;0,151790326;0,736949353;0,104666307;0,151012933;10,04370809;0,142514938;0,747278181;0,098711695
3;D;2;2;0,519891228;35,25111557;0,48890221;1,028628737;0,337120227;0,519746871;34,56780651;0,490499002;1,079972201;0,339739738
3;D;2;3;0,139669284;9,470246488;0,131344054;0,59928219;0,090567677;0,162913043;10,83517166;0,15374539;0,696744156;0,106490367
3;D;2;4;0,040395725;2,739023643;0,037987868;0,246625017;0,026194356;0,04296062;2,857264701;0,040543084;0,256870641;0,028081804
3;D;2;7;0,089157076;6,045276811;0,083842714;0,690118031;0,05781335;0,090996692;6,05209232;0,085876008;0,672490567;0,059481248
3;D;2;8;0,092043584;6,240995887;0,086557167;0,825653056;0,059685088;0,100310042;6,671513259;0,094665266;0,83517468;0,065569048
3;E;1;1;0,00397079;0,535753268;0,008293751;0,018129255;0,002574834;0,003641303;0,481192677;0,007744001;0,018018764;0,002380188
3;E;1;2;0,035177169;4,746230318;0,07347422;0,069599649;0,022810416;0,033815016;4,468603096;0,071914785;0,070263583;0,022103654
3;E;1;3;0,009128143;1,231601973;0,019065867;0,039166334;0,005919088;0,008995196;1,188701446;0,019130186;0,038470523;0,005879834
3;E;1;4;0,016034102;2,163378811;0,033490278;0,097891813;0,010397214;0,016320818;2,156771402;0,034709673;0,097585629;0,010668329
3;E;1;7;0,00601004;0,81089624;0,012553114;0,046520559;0,003897173;0,006199666;0,819276517;0,013184902;0,045817239;0,004052498
3;E;1;9;0,01358894;1,83346868;0,02838309;0,146057613;0,008811663;0,014007503;1,851070216;0,029789917;0,141688373;0,009156198
3;E;2;1;0,045143879;6,090974684;0,042453;0,206111362;0,029273267;0,04140971;5,47223036;0,039079449;0,204913395;0,02706803
3;E;2;2;0,137449334;18,54515908;0,129256429;0,271949838;0,089128164;0,129772564;17,14924748;0,122469834;0,269651958;0,084827633
3;E;2;3;0,056875344;7,673826263;0,053485191;0,244036341;0,036880463;0,057984877;7,662613566;0,054721877;0,247988887;0,037902618
3;E;2;4;0,017327384;2,337873057;0,016294555;0,105787591;0,011235834;0,017609125;2,327019218;0,016618202;0,10528869;0,011510449
3;E;2;7;0,042707938;5,762308776;0,040162257;0,330579686;0,027693696;0,048645526;6,428432515;0,045908082;0,359503811;0,031797822
3;E;2;8;0,081733893;11,02783111;0,076862003;0,73317265;0,052999834;0,090243616;11,92555696;0,08516531;0,751362288;0,058988989
3;E;2;9;0,074717988;10,08121993;0,070264293;0,803089213;0,048450414;0,079544369;10,51166772;0,075068145;0,804605403;0,051995278
2;E;1;2;0,023355748;0,908118483;0,014058167;0,013316827;0,004364424;0,023741311;0,887389561;0,014281069;0,013953168;0,004389415
2;E;1;4;0,012047653;0,468436977;0,007251659;0,02119654;0,002251311;0,012943848;0,483807987;0,00778609;0,021890455;0,002393125
2;E;2;1;0,065163198;2,533676241;0,017659268;0,0857366;0,012176866;0,064050956;2,394061107;0,017096976;0,089648124;0,011842067
2;E;2;2;0,057275642;2,226992197;0,015521736;0,032657049;0,01070294;0,058264211;2,177767378;0,015552333;0,034242858;0,010772184
2;E;2;3;0,044000603;1,710831956;0,011924192;0,054406388;0,00822227;0,046422795;1,73516548;0,012391531;0,056156004;0,008582883
2;E;2;4;0,012593381;0,489656001;0,003412814;0,02215669;0,00235329;0,013878012;0,518724631;0,003704426;0,023470299;0,002565838
2;E;2;7;0,035382963;1,37576079;0,009588806;0,078926449;0,006611916;0,038522515;1,439873195;0,010282727;0,080523502;0,007122239
2;E;2;8;0,187858441;7,304314149;0,050909758;0,485618913;0,035104585;0,204389685;7,639564317;0,054557273;0,481325991;0,037788606
2;E;2;9;0,035806136;1,392214603;0,009703486;0,110906472;0,006690993;0,044198721;1,652035276;0,011797864;0,126453437;0,008171685
1;E;1;4;0,034516136;1,18277568;0,018310009;0,05352001;0,005684428;0,036642011;1,195991004;0,019247499;0,054114003;0,005915891
1;E;2;1;0,104501548;3,580988614;0,024958848;0,121176409;0,017210256;0,103467549;3,377168892;0,024117753;0,126461625;0,016704945
1;E;2;2;0,094870438;3,250956237;0,022658581;0,047672658;0,015624118;0,100579112;3,282890643;0,023444473;0,051619635;0,016238604
1;E;2;4;0,02144188;0,734755889;0,005121117;0,033247338;0,003531242;0,023688115;0,773177357;0,005521578;0,034983308;0,003824471
1;F;1;1;0,448966986;0,701306603;0,23816657;0,520606712;0,073939928;0,441716867;0,660373441;0,232027256;0,539881665;0,071315656
1;F;1;4;0,558999241;0,87318193;0,296536129;0,866772724;0,092061031;0,574998419;0,85963139;0,30203806;0,849174648;0,092834104
1;F;2;1;2,056921401;3,213003642;0,491269162;2,38513548;0,338752348;2,003956233;2,995945074;0,46711188;2,449304762;0,323540858
1;F;2;2;1,466541516;2,290803736;0,350264537;0,736941172;0,241523269;1,525412323;2,280514644;0,355565758;0,782878524;0,246279436
1;F;2;3;1,862875165;2,909894703;0,44492372;2,030048962;0,306795065;2,021994229;3,022912152;0,471316444;2,135914309;0,326453111
1;F;2;4;0,323639411;0,5055393;0,077297101;0,501828612;0,053299854;0,344156912;0,514519822;0,080221204;0,508261092;0,055564498
1;F;2;8;1,48813756;2,324537727;0,355422474;3,390310274;0,2450799;1,617051369;2,417516412;0,376926348;3,325394366;0,261074657
1;F;2;9;1,410245643;2,202867054;0,336818993;3,849689371;0,232251958;1,542850967;2,306585681;0,359630616;3,854640817;0,249094924
2;F;1;1;0,116278965;0,206092976;0,069990011;0,152990698;0,021728727;0,112072919;0,191870098;0,067415025;0,156861469;0,020720612
2;F;1;2;0,33612806;0,595753773;0,2023204;0,191651287;0,062811317;0,332033656;0,568445354;0,19972762;0,195141768;0,061388074
2;F;1;3;0,179914357;0,318880419;0,108293085;0,222462642;0,033620096;0,18063938;0,30925665;0,108659688;0,218513033;0,033397529
2;F;1;4;0,271951853;0,482007786;0,163691801;0,478469821;0,050818887;0,276609833;0,473559146;0,166388626;0,46779867;0,051141035
